DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2013-12-01,,1729157,3917,152936,,177827.3475084,27.6172049363482,,,,,,,,
2014-01-01,,1741703,3969,153575,,228739.95693432,26.8057567846165,,,,,,,,
2014-02-01,,1750214,3995,153968,,112439.786833554,26.6722052928723,,,,,,,,
2014-03-01,,1758990,3986,154263,,183484.564829152,26.8574598554296,,,,,,,,
2014-04-01,,1770981,4011,155177,,189280.973801778,26.9943133475165,,,,,,,,
2014-05-01,,1779939,3993,155899,,193700.818526069,27.2667403425136,,,,,,,,
2014-06-01,,1793633,3998,156986,,171727.531248246,27.2718092264749,,,,,,,,
2014-07-01,,1804937,4020,157552,,175004.198636185,27.0851733582446,,,,,,,,
2014-08-01,,1819690,4020,158204,,217237.227810237,27.5232260772175,,,,,,,,
2014-09-01,,1832026,4021,158816,,186137.799018773,27.6474676681867,,,,,,,,
2014-10-01,,1843676,4008,159513,,227404.432093043,28.009354457128,,,,,,,,
2014-11-01,,1856075,4011,159950,,202615.782880934,28.4654163691002,,,,,,,,
2014-12-01,,1869270,4013,160569,,166989.029255079,27.9870756614026,,,,,,,,
2015-01-01,,1880967,4033,161049,,202496.726749214,27.4726671183556,,,,,,,,
2015-02-01,,1889002,4013,161322,,98071.7433494588,27.2481400009264,,,,,,,,
2015-03-01,,1898618,4017,161280,,186494.367343463,26.9433330744693,,,,,,,,
2015-04-01,,1909301,4007,161759,,209437.845668198,27.3368977288054,,,,,,,,
2015-05-01,,1916518,4003,162542,,236471.545749256,27.7278062019212,,,,,,,,
2015-06-01,,1922455,3989,163183,,227081.059384056,27.6179559217148,,,,,,,,
2015-07-01,,1925572,3934,163747,,147896.732518095,27.5139763516612,,,,,,,,
2015-08-01,,1933069,3938,163933,,227476.609313792,28.1144000301274,,,,,,,,
2015-09-01,,1941827,3985,164748,,191162.067108077,28.7760259985775,,,,,,,,
2015-10-01,,1948110,3975,164958,,181149.249372622,29.2089030644408,,,,,,,,
2015-11-01,,1950691,3966,165928,,114799.517941569,29.1107095969111,,,,,,,,
2015-12-01,,1959171,3946,166316,,118042.519238256,28.3650561119792,,,,,,,,
2016-01-01,,1966031,3971,166485,,225558.806092253,27.9421033626817,,,,,,,,
2016-02-01,,1974405,3966,166699,,181650.335547768,28.0670223429059,,,,,,,,
2016-03-01,,1940598,3659,162110,,242937.936488414,27.9019371776965,,,,,,,,
2016-04-01,,1967295,3562,164637,,228827.825740597,28.3358007117846,,,,,,,,
2016-05-01,,2026192,4071,170141,,219841.742848269,28.4125669894972,,,,,,,,
2016-06-01,,2012284,4393,172313,,150145.291393917,27.8307054373145,,,,,,,,
