DATA,CFCT,NC-R,NC-I,NC-C,PT-TOT,PNT-TOT,TEMP-MAX,I-PLUV,IPAGRO,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2009-03-01,438743,1322599,3834,127776,65809.277269225,144304.990280774,30.1548387096774,605.5,132.513494023598,553252,603492021.403006,142.69811110212,133.55,92.2,67.4
2009-04-01,433215,1329112,3809,128298,62965.49590285,124698.60939715,30.1266666666666,469.9,143.568044646614,556765,601839309.805182,132.914665199382,129.22,82.7,61.7
2009-05-01,418764,1334600,3807,128753,64456.98286549,156860.84015451,30.116129032258,456.6,186.267473471924,574302,601940241.599085,141.440741454445,134.6,84.0,69.5
2009-06-01,448329,1343143,3808,129579,64607.5827601,128409.4100399,31.4333333333333,316.9,229.253811985965,577107,605130022.951523,138.363072185372,145.72,94.9,71.5
2009-07-01,475496,1349523,3826,130424,69168.61441106,136127.562468939,32.5193548387096,195.0,197.800632247834,576411,604832806.271011,134.843404911729,144.83,98.3,72.7
2009-08-01,474514,1356719,3826,130427,72499.7879137199,167449.378646279,33.5806451612903,92.7,147.83328134793,620186,605205114.563748,141.689229796024,144.29,96.4,75.5
2009-09-01,491784,1363769,3798,130864,71722.6079447,143480.232655299,33.5766666666666,111.3,152.742196086212,619421,608033817.191683,138.295302972428,141.13,92.0,77.3
2009-10-01,495674,1370522,3825,131208,75214.935455225,169898.641094775,33.6354838709677,142.1,119.466278189461,637968,608497356.936898,124.014531302858,140.71,96.9,75.6
2009-11-01,502534,1377953,3824,131717,73641.781220885,150537.424009114,34.02,45.1,126.518898681134,638125,609106340.791193,122.094955564052,137.68,91.5,72.9
2009-12-01,509576,1385198,3778,131968,73826.45519596,144022.30488404,32.416129032258,253.7,166.48416547289,635205,609264270.008068,168.962925071323,147.33,93.9,101.2
2010-01-01,472102,1388562,3818,131784,71870.8181398499,162986.50916015,31.0612903225806,452.3,170.018860785763,646724,656857348.413336,148.321481174005,142.28,94.3,70.7
2010-02-01,458473,1392733,3781,132066,66458.1889913,128326.8634087,31.85,359.7,116.758156156555,661728,651537569.30061,141.486640473255,134.19,88.2,65.5
2010-03-01,511173,1400567,3760,132081,76906.6644823349,169363.697847665,29.7987096774193,605.5,128.349755854109,663252,650679276.453228,155.349126373463,143.14,99.7,78.5
2010-04-01,499525,1410957,3766,133000,71175.21525175,130507.94324825,31.1933333333333,453.51,139.18325995832,671713,651156570.790272,142.38453428035,139.66,93.2,70.4
2010-05-01,497441,1419590,3728,133633,76626.62033038,179785.108909619,32.4612903225806,403.0,185.407082810692,664325,651641127.611831,159.12687299032,148.0,96.3,80.1
2010-06-01,530365,1429839,3769,134551,74140.7509861299,124926.244753869,32.5466666666666,163.7,238.68062887526,666723,655039373.953832,150.35619340552,156.12,97.1,74.8
2010-07-01,520506,1438783,3762,134627,76008.0624842649,151637.808985734,32.8516129032258,132.1,201.930223339989,671713,658175828.324894,146.260974798128,153.32,100.0,81.3
