DATA,CFCT,NC-R,NC-I,NC-C,TEMP-MAX,I-PLUV,PNT-TOT,IMR-TOT,IV-CVA,PFI-IG
06/01/2018,715526.111097,2238855,3923,177436,27.8581321274102,3.27839025570026,168265.36822576,2919783746.23376,85.9000015,235.351081342664
07/01/2018,725543.983975,2245099,4007,177023,27.7709483113957,3.18282354278835,180735.199488782,2978875827.41908,88.0999985,248.655547305763
08/01/2018,709848.30315899,2255055,4020,176761,28.0935196979178,3.65172534989921,219373.241969875,3060751272.12286,92,235.198170420689
09/01/2018,748577.53163723,2251586,3977,175632,28.5212041170036,3.5222198929911,196478.968166197,3059413060.55784,86.1999969,241.773936471899
10/01/2018,756947.86420013,2264070,3996,176075,28.7695212308658,3.13053132072027,241468.96519629,3095225275.21823,90.9000015,249.726015514401
11/01/2018,769203.48201911,2261596,4035,175357,28.742607298258,5.99962487484802,185607.734347774,3170357100.79133,100.699997,233.821834490694
12/01/2018,709991.48838789,2267587,4059,175187,27.2246694121175,13.4376866046541,163236.337655435,3037235903.06195,113.800003,237.339106837965
01/01/2019,663872.89189126,2271946,4025,174776,27.2307172785302,10.99514368909,229640.027795513,3009247250.92519,88.6999969,222.199572178946
02/01/2019,648523.72413839,2290938,4011,174389,26.5810810755345,15.0836039810047,166775.072476858,2959411841.90631,82.8000031,182.592077183682
03/01/2019,664518.79002472,2275911,3999,173836,27.1451083770008,18.7418275074321,217587.652819996,2926614189.17059,88.9000015,175.863387976522
04/01/2019,679499.16469375,2281953,3965,173925,27.4641963318642,15.2306914450893,209040.158686907,2874526813.25927,86.3000031,123.410216213294
05/01/2019,699172.71258864,2291882,4027,174296,27.8909223015112,10.9431258932187,231989.882384652,2851294558.97576,92.0999985,219.905701900991
06/01/2019,719014.47514071,2292092,4044,173441,27.8376134524504,6.69281003440259,182157.823538666,2849041338.19772,89.3000031,241.926847393874
07/01/2019,728832.51593277,2299220,4074,173399,27.7957492552927,3.74674769691111,199729.905781527,2891422573.62026,93,257.219315913572
08/01/2019,739419.5584713,2302210,4034,173032,28.3001071276701,3.03763485765413,212548.896853422,2950697288.60671,96.5,265.018484034099
09/01/2019,749033.62276044,2305809,4034,172777,28.9711653918324,3.41965328419466,192916.768793177,2972772264.18592,92.8000031,237.18619591599
10/01/2019,763697.56458413,2315854,4051,172831,28.3202975104994,5.88457342426694,199162.35219966,3109384361.92588,99.5999985,241.468068750543
11/01/2019,749033.4294293,2323102,4089,174127,28.376842939651,6.10965932819798,166127.070748289,3208439222.44763,109,227.093157517508
12/01/2019,772002.30973673,2316374,4001,173085,28.3790247813803,7.14982983698373,166649.150516214,3091524765.24889,121.099998,240.703445324558
01/01/2020,694356.696968415,2333794,4034,173164,27.3475583956601,11.9505331842458,186627.756392709,2960006310.6361,98.1999969,120.853567309001
02/01/2020,686586.578883696,2314544,3977,170912,27.1234310187334,15.676336033573,142898.334433755,2926535376.98868,89.8000031,114.641467480556
03/01/2020,687102.407967348,2321842,3995,171113,27.5905511101832,19.4849277322448,194498.10176258,3018597509.79069,87.5,106.564989767942
04/01/2020,679789.396766448,2322060,3971,170052,27.562550875067,12.427366568064,158879.150520907,3297235194.65112,67.9000015,88.4179335562753
05/01/2020,663116.112429701,2344109,3967,169855,28.4029775482971,10.6161006065455,235579.34132639,3403409289.15198,71.4000015,94.4120264851151
06/01/2020,690465.617192511,2344363,3945,169550,28.0578141131159,6.32149925123761,217019.18838829,3358620880.91586,102.599998,100.912606448297
07/01/2020,769034.276680801,2334105,3987,169586,28.5551344733262,3.18792404554188,212236.615112313,3183729850.4654,112.699997,118.837011726363
08/01/2020,805096.57236183,2335997,4000,169188,28.7912914050655,1.15100432971354,218921.799259459,3197772668.00827,117.099998,115.131543659257
09/01/2020,811322.382536289,2346932,4026,169102,29.4533235615636,3.12924945286922,202028.291564876,3219652038.46173,106.546695976542,115.784997008384
10/01/2020,802082.762733209,2353972.796,4034.052,169017.449,28.5030607269395,3.17270918621817,195219.540050475,3210467354.5208,107.760997710999,120.280846419866
11/01/2020,780288.074436299,2358680.741592,4038.086052,169101.9577245,28.4487104959608,3.90249465453292,157045.277960621,3310080442.51937,110.145095569424,117.689202891558
12/01/2020,781390.297336774,2363398.10307518,4042.124138052,169271.059682225,27.9388723605474,7.01515924576731,246350.05500469,3182512356.69042,129.046115488951,120.485583718826
01/01/2021,702686.807138219,2365511.31616356,4045.33377615238,169576.203084643,27.2966450986471,10.4617321342885,176201.121057697,3078740169.21405,101.221826114458,114.333802901999
02/01/2021,680061.741002268,2367626.41876414,4048.54596285749,169881.896566303,27.0700504543035,13.4437192387573,132484.660676212,3045137850.58274,89.0149416493209,106.081922331751
03/01/2021,690452.194634504,2369743.41256641,4051.76070019106,170188.141118827,27.3372337188018,14.7464430791966,291550.383441945,3143508393.92055,98.9831380889457,114.07495637096
04/01/2021,699696.108666576,2371862.29926138,4054.9779901784,170494.937735626,27.4598117045015,12.879966844065,148717.462074537,3240946296.75426,92.4027878496121,108.097500120109
05/01/2021,725146.033556658,2373983.08054157,4058.19783484644,170802.287411899,27.8683075586841,9.15365301933366,226034.222775646,3343229733.12203,100.220101242037,122.586873705849
06/01/2021,745143.124436645,2376105.75810099,4061.42023622372,171110.191144644,27.7161991160222,5.38554208354533,327310.930537212,3301559115.55604,97.8452882855141,113.828858373167
