DATA,CFCT,NC-R,NC-I,NC-C,NC-RUR,NC-PPU,NC-IPU,NC-SPU,NC-PRO,NC-TOTAL,PT,PT-INT,PT-ISO,PT-TOT,PNT-INT,PN-ISO,PNT-TOT,TEMP-MIN,TEMP-MAX,I-PLUV,U-REL,IPAGRO,MR-BF,Q-BF,MR-PS,IMR-TOT,I-AEC,PFI-IG,IV-CVA
2008-02-01,421014.342,1284072,4028,127270,87264,12890,308,1337,269,1517438,144441.914,54920.941768,2644.158372,57565.10014,85048.124232,1828.689628,86876.8138600001,22.7965517241379,30.1862068965517,450.8,81.6551724137931,119.484493028853,85422186.3809171,547428,514379816.252179,131.535936163831,127.3,88.1,61.9
2008-03-01,428133.211,1290445,4019,127442,88286,12950,309,1352,269,1525072,174536.16064,58548.250287,2827.20420768,61375.45449468,109559.584713,3601.12143231999,113160.70614532,23.1225806451612,29.9129032258064,457.4,80.6451612903225,129.493754011111,86368622.7500672,540627,554201297.566464,140.590004672609,131.22,92.9,66.0
2008-04-01,428541.833,1296565,3982,128296,88761,13001,309,1366,267,1532547,165281.83888,57590.1903585,2860.53971656,60450.73007506,101649.7656415,3181.34316344,104831.108804939,23.1033333333333,30.4466666666666,503.7,80.3333333333333,139.918259363659,86509879.887084,542551,551992958.416102,133.927816065604,130.55,85.2,64.9
2008-05-01,439807.099,1302394,4009,129139,90972,13093,308,1372,266,1541553,188036.230479999,60827.3090305,3066.22975826,63893.53878876,120099.070969499,4043.62072173999,124142.691691239,23.3612903225806,31.3129032258064,304.9,75.5483870967741,185.787169530324,86901563.3270964,546009,553341188.027321,141.836341639614,137.09,93.5,70.7
2008-06-01,453588.9,1290329,3934,127774,92785,13219,307,1398,268,1530014,165152.583549999,59983.2407794999,3061.580229725,63044.821009225,99432.0802204998,2675.682320275,102107.762540774,23.1633333333333,31.3466666666666,299.0,84.5085574544106,220.518640184111,86571414.8667812,546226,551583753.589194,136.419948832487,143.38,95.6,68.6
2008-07-01,474355.720999999,1286972,3887,127706,94613,13291,309,1398,270,1528446,182857.19143,63624.6850645,3332.757219285,66957.442283785,111527.7559355,4371.993210715,115899.749146215,23.0032258064516,32.4774193548387,108.2,63.258064516129,190.979638367591,92883855.133775,543667,549713280.088738,138.493055663563,142.51,101.2,73.1
2008-08-01,470271.723,1289250,3919,127327,95908,13299,307,1407,267,1531684,208333.89268,65730.809425,3425.85879716,69156.66822216,134830.277575,4346.94688283999,139177.224457839,23.2935483870967,33.3483870967741,151.5,61.3548387096774,146.92184076955,92523928.5712796,542414,548158611.785728,138.892873746062,145.51,106.2,69.4
2008-09-01,502666.580999999,1290288,3927,127231,97084,13432,309,1399,269,1533939,169748.31955,65104.489561,3368.576236225,68473.065797225,98537.6694389999,2737.584313775,101275.253752774,23.2033333333333,33.2933333333333,109.6,64.3666666666666,151.622446817572,92769153.5035142,541718,549247537.453091,135.876731009702,142.83,100.7,72.3
2008-10-01,502474.054,1295890,3929,127267,97571,13458,309,1416,271,1540111,191562.00877,67317.0011125,3381.469368615,70698.470481115,117460.8288875,3402.70940138499,120863.538288885,23.2,33.3419354838709,110.6,63.2258064516128,117.401929490101,89742518.9014742,537653,549541424.006236,123.055821589783,140.81,106.8,70.2
2008-11-01,481399.682,1299944,3911,127546,98800,13474,312,1430,270,1545687,190963.985149999,65013.07513,3293.148032425,68306.223162425,118994.067869999,3663.694117575,122657.761987574,23.3433333333333,33.2,135.2,67.1999999999999,126.34051415779,91659156.6878305,538556,548856030.927518,121.270186915784,135.93,97.7,65.8
2008-12-01,478414.018,1303789,3903,127544,99730,13574,315,1437,271,1550563,193916.355119999,64931.531298,3297.15768044,68228.68897844,121470.965701999,4216.70043956,125687.666141559,23.658064516129,32.5516129032258,171.2,71.2692307692307,175.157878450076,90765727.2643753,532978,548676204.845565,169.541005969885,143.63,94.9,90.0
2009-01-01,460540.974,1306268,3870,127272,100072,13610,313,1431,270,1553106,184431.43871162,62843.1627124999,2740.85443330623,65584.0171458062,117053.482287499,1793.93927831419,118847.421565813,23.1129032258064,31.2096774193548,354.5,80.5483870967741,169.750872754627,89428018.4844788,530261,546220117.781841,135.494760292167,136.04,92.1,64.8
2009-02-01,431033.034,1315920,3864,127562,103306,13705,317,1453,270,1566397,143933.004,55971.9721085,2414.4667015,58386.43881,84847.3868915,699.1782985,85546.56519,22.8714285714285,29.825,422.0,84.1428571428571,121.467949597979,92727289.0094784,551767,600275513.304598,131.175095236946,126.26,82.2,59.0
2009-03-01,438743.340999999,1322599,3834,127776,106322,13705,316,1448,266,1576266,210114.267549999,63069.8183395,2739.458929725,65809.277269225,140938.800660499,3366.189620275,144304.990280774,23.2064516129032,30.1548387096774,605.5,84.5806451612903,132.513494023598,93050557.7873753,553252,603492021.403006,142.69811110212,133.55,92.2,67.4
2009-04-01,433214.787,1329112,3809,128298,108641,13827,324,1464,266,1585741,187664.1053,60267.5045185,2697.99138434999,62965.49590285,122169.0214815,2529.58791564999,124698.60939715,23.27,30.1266666666666,469.9,82.9,143.568044646614,92947174.8045213,556765,601839309.805182,132.914665199382,129.22,82.7,61.7
2009-05-01,418764.385999999,1334600,3807,128753,112920,13907,322,1468,266,1596043,221317.82302,61677.681303,2779.30156249,64456.98286549,152752.361697,4108.47845750999,156860.84015451,23.1935483870967,30.116129032258,456.6,82.5806451612903,186.267473471924,95198157.0599063,574302,601940241.599085,141.440741454445,134.6,84.0,69.5
2009-06-01,448328.549,1343143,3808,129579,116047,13979,321,1459,266,1608602,193016.9928,61821.8190925,2785.76366759999,64607.5827601,125322.5769075,3086.83313239999,128409.4100399,23.2566666666666,31.4333333333333,316.9,73.1,229.253811985965,96764909.4315187,577107,605130022.951523,138.363072185372,145.72,94.9,71.5
